@relation 'adult1-weka.filters.unsupervised.attribute.Remove-R2-4,6-7,12-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-Rfirst-last'

@attribute age {'Age_inf_31.5','Age_31.5_43.5','Age_sup_43.5'}
@attribute ' education-num' {'Education_inf_9.5','Education_9.5_12.5','Education_sup_12.5'}
@attribute ' relationship' {_Not-in-family,_Husband,_Wife,_Own-child,_Unmarried,_Other-relative}
@attribute ' race' {_White,_Black,_Asian-Pac-Islander,_Amer-Indian-Eskimo,_Other}
@attribute ' sex' {_Male,_Female}
@attribute ' capital-gain' {'\'(-inf-704.5]\'','\'(704.5-6238]\'','\'(6238-inf)\''}
@attribute ' hours-per-week' {'\'(-inf-39]\'','\'(39-40.5]\'','\'(40.5-inf)\''}
@attribute ' native-country' {_United-States,_Cuba,_Jamaica,_India,_?,_Mexico,_South,_Puerto-Rico,_Honduras,_England,_Canada,_Germany,_Iran,_Philippines,_Italy,_Poland,_Columbia}
@attribute ' gain' {_<=50K,_>50K}

@data
'Age_31.5_43.5','\'(12.5-inf)\'',_Not-in-family,_White,_Male,'\'(704.5-6238]\'','\'(39-40.5]\'',_United-States,_<=50K
'Age_sup_43.5','\'(12.5-inf)\'',_Husband,_White,_Male,'\'(-inf-704.5]\'','\'(-inf-39]\'',_United-States,_<=50K
'Age_31.5_43.5','Education_inf_9.5',_Not-in-family,_White,_Male,'\'(-inf-704.5]\'','\'(39-40.5]\'',_United-States,_<=50K
'Age_sup_43.5','Education_inf_9.5',_Husband,_Black,_Male,'\'(-inf-704.5]\'','\'(39-40.5]\'',_United-States,_<=50K
'Age_inf_31.5','\'(12.5-inf)\'',_Wife,_Black,_Female,'\'(-inf-704.5]\'','\'(39-40.5]\'',_Cuba,_<=50K
'Age_31.5_43.5','\'(12.5-inf)\'',_Wife,_White,_Female,'\'(-inf-704.5]\'','\'(39-40.5]\'',_United-States,_<=50K
'Age_sup_43.5','Education_inf_9.5',_Not-in-family,_Black,_Female,'\'(-inf-704.5]\'','\'(-inf-39]\'',_Jamaica,_<=50K
'Age_sup_43.5','Education_inf_9.5',_Husband,_White,_Male,'\'(-inf-704.5]\'','\'(40.5-inf)\'',_United-States,_>50K
'Age_inf_31.5','\'(12.5-inf)\'',_Not-in-family,_White,_Female,'\'(6238-inf)\'','\'(40.5-inf)\'',_United-States,_>50K
'Age_31.5_43.5','\'(12.5-inf)\'',_Husband,_White,_Male,'\'(704.5-6238]\'','\'(39-40.5]\'',_United-States,_>50K
'Age_31.5_43.5','\'(9.5-12.5]\'',_Husband,_Black,_Male,'\'(-inf-704.5]\'','\'(40.5-inf)\'',_United-States,_>50K
'Age_inf_31.5','\'(12.5-inf)\'',_Husband,_Asian-Pac-Islander,_Male,'\'(-inf-704.5]\'','\'(39-40.5]\'',_India,_>50K
'Age_inf_31.5','\'(12.5-inf)\'',_Own-child,_White,_Female,'\'(-inf-704.5]\'','\'(-inf-39]\'',_United-States,_<=50K
'Age_31.5_43.5','\'(9.5-12.5]\'',_Not-in-family,_Black,_Male,'\'(-inf-704.5]\'','\'(40.5-inf)\'',_United-States,_<=50K
'Age_31.5_43.5','\'(9.5-12.5]\'',_Husband,_Asian-Pac-Islander,_Male,'\'(-inf-704.5]\'','\'(39-40.5]\'',_?,_>50K
'Age_31.5_43.5','Education_inf_9.5',_Husband,_Amer-Indian-Eskimo,_Male,'\'(-inf-704.5]\'','\'(40.5-inf)\'',_Mexico,_<=50K
'Age_inf_31.5','Education_inf_9.5',_Own-child,_White,_Male,'\'(-inf-704.5]\'','\'(-inf-39]\'',_United-States,_<=50K
'Age_31.5_43.5','Education_inf_9.5',_Unmarried,_White,_Male,'\'(-inf-704.5]\'','\'(39-40.5]\'',_United-States,_<=50K
'Age_31.5_43.5','Education_inf_9.5',_Husband,_White,_Male,'\'(-inf-704.5]\'','\'(40.5-inf)\'',_United-States,_<=50K
